Company Name,Index Name
Hathway Cable & Datacom Ltd (HATHWAY),HATHWAY.NS
Tata Steel,TATASTEEL.NS
JSW Steel,JSWSTEEL.NS
Vedanta,VEDL.NS
Jindal Steel & Power,JINDALSTEL.NS
Jindal Stainless:,JSL.NS
Hindalco,HINDALCO.NS
Adani Enterprises,ADANIENT.NS
NMDC,NMDC.NS
Steel Authority of India (SAIL),SAIL.NS
Hindustan Zinc,HINDZINC.NS
Hindustan Copper,HINDCOPPER.NS
APL Apollo Tubes Ltd,APLAPOLLO.NS
Ratnamani Metals & Tubes Ltd,RATNAMANI.NS
Welspun Corp Ltd,WELCORP.NS
Dr. Reddy's Laboratories,DRREDDY.NS
Aurobindo Pharma,AUROPHARMA.NS
Torrent Pharmaceuticals,TORNTPHARM.NS
Sun Pharmaceutical,SUNPHARMA.NS
Mankind Pharma,MANKIND.NS
IPCA Laboratories,IPCALAB.NS
Alkem Laboratories,ALKEM.NS
Divi's Laboratories,DIVISLAB.NS
Laurus Labs,LAURUSLABS.NS
Abbott India,ABBOTINDIA.NS
Zydus Lifesciences,ZYDUSLIFE.NS
Natco Pharma,NATCOPHARM.NS
Cipla,CIPLA.NS
Gland Pharma,GLAND.NS
Biocon,BIOCON.NS
Glenmark Pharmaceuticals,GLENMARK.NS
Sanofi India,SANOFI.NS
JB Chemicals & Pharmaceuticals,JBCHEPHARM.NS
Granules India,GRANULES.NS
ICICI Bank,ICICIBANK.NS
Kotak Mahindra Bank,KOTAKBANK.NS
IDFC First Bank,IDFCFIRSTB.NS
Axis Bank,AXISBANK.NS
RBL Bank,RBLBANK.NS
HDFC Bank,HDFCBANK.NS
IndusInd Bank,INDUSINDBK.NS
Bandhan Bank,BANDHANBNK.NS
Federal Bank,FEDERALBNK.NS
City Union Bank (CUB),CUB.NS
State Bank of India (SBI),SBIN.NS
Canara Bank,CANBK.NS
Union Bank of India,UNIONBANK.NS
Bank of India,BANKINDIA.NS
Bank of Baroda,BANKBARODA.NS
Punjab National Bank (PNB),PNB.NS
Bank of Maharashtra,MAHABANK.NS
UCO Bank,UCOBANK.NS
Indian Bank,INDIANB.NS
Indian Overseas Bank (IOB),IOB.NS
Punjab & Sind Bank,PSB.NS
Central Bank of India,CENTRALBK.NS
DLF,DLF.NS
Lodha (Macrotech Developers),LODHA.NS
Prestige Estates Projects,PRESTIGE.NS
Sobha,SOBHA.NS
Mahindra Lifespace Developers,MAHLIFE.NS
Oberoi Realty,OBEROIRLTY.NS
Phoenix Mills,PHOENIXLTD.NS
Godrej Properties,GODREJPROP.NS
Brigade Enterprises,BRIGADE.NS
Sunteck Realty,SUNTECK.NS
TITAN,TITAN.NS
DIXON,DIXON.NS
CROMPTON,CROMPTON.NS
BLUESTARCO,BLUESTARCO.NS
KAJARIACER,KAJARIACER.NS
KALYANKJIL,KALYANKJIL.NS
CERA,CERA.NS
AMBER,AMBER.NS
VGUARD,VGUARD.NS
HAVELLS,HAVELLS.NS
VOLTAS,VOLTAS.NS
BATAINDIA,BATAINDIA.NS
WHIRLPOOL,WHIRLPOOL.NS
CENTURYPLY,CENTURYPLY.NS
RAJESHEXPO,RAJESHEXPO.NS
Reliance Industries,RELIANCE.NS
Adani Total Gas,ATGL.NS
Oil and Natural Gas Corporation,ONGC.NS
Petronet LNG,PETRONET.NS
Indraprastha Gas,IGL.NS
Bharat Petroleum Corporation,BPCL.NS
GAIL (India),GAIL.NS
Hindustan Petroleum Corporation,HINDPETRO.NS
Gujarat State Petronet,GSPL.NS
Castrol India,CASTROLIND.NS
Oil India,OIL.NS
Indian Oil Corporation,IOC.NS
Gujarat Gas,GUJGASLTD.NS
Mahanagar Gas,MGL.NS
AEGIS Chemicals,AEGISCHEM.NS
